Move Name,Type,Accuracy,Move Category,Effect Chance,PP,Priority,Power,HP Based Damage,Target,Effect Entry
pound,normal,100,physical,-1,35,0,40,No,selected-pokemon,Inflicts regular damage.
karate-chop,fighting,100,physical,-1,25,0,50,No,selected-pokemon,Inflicts regular damage.  User's critical hit rate is one level higher when using this move.
double-slap,normal,85,physical,-1,10,0,15,No,selected-pokemon,Inflicts regular damage.  Hits 2–5 times in one turn.  Has a 3/8 chance each to hit 2 or 3 times  and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.
comet-punch,normal,85,physical,-1,15,0,18,No,selected-pokemon,Inflicts regular damage.  Hits 2–5 times in one turn.  Has a 3/8 chance each to hit 2 or 3 times  and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.
mega-punch,normal,85,physical,-1,20,0,80,No,selected-pokemon,Inflicts regular damage.
pay-day,normal,100,physical,-1,20,0,40,No,selected-pokemon,Inflicts regular damage.  After the battle ends  the winner receives five times the user's level in extra money for each time this move was used.
fire-punch,fire,100,physical,10,15,0,75,No,selected-pokemon,Inflicts regular damage.  Has a 10% chance to burn the target.
ice-punch,ice,100,physical,10,15,0,75,No,selected-pokemon,Inflicts regular damage.  Has a 10% chance to freeze the target.
thunder-punch,electric,100,physical,10,15,0,75,No,selected-pokemon,Inflicts regular damage.  Has a 10% chance to paralyze the target.
scratch,normal,100,physical,-1,35,0,40,No,selected-pokemon,Inflicts regular damage.
vice-grip,normal,100,physical,-1,30,0,55,No,selected-pokemon,Inflicts regular damage.
guillotine,normal,30,physical,-1,5,0,-1,No,selected-pokemon,Inflicts damage equal to the target's max HP.  Ignores accuracy and evasion modifiers.  This move's accuracy is 30% plus 1% for each level the user is higher than the target.  If the user is a lower level than the target  this move will fail.  Because this move inflicts a specific and finite amount of damage  endure still prevents the target from fainting.  The effects of lock on  mind reader  and no guard still apply  as long as the user is equal or higher level than the target.  However  they will not give this move a chance to break through detect or protect.
razor-wind,normal,100,special,-1,10,0,80,No,all-opponents,Inflicts regular damage.  User's critical hit rate is one level higher when using this move.  User charges for one turn before attacking.  This move cannot be selected by sleep talk.
swords-dance,normal,-1,status,-1,20,0,-1,No,user,Raises the user's Attack by two stages.
cut,normal,95,physical,-1,30,0,50,No,selected-pokemon,Inflicts regular damage.
gust,flying,100,special,-1,35,0,40,No,selected-pokemon,Inflicts regular damage.  If the target is under the effect of bounce  fly  or sky drop  this move will hit with double power.
wing-attack,flying,100,physical,-1,35,0,60,No,selected-pokemon,Inflicts regular damage.
whirlwind,normal,-1,status,-1,20,-6,-1,No,selected-pokemon,Switches the target out for another of its trainer's Pokémon selected at random.  Wild battles end immediately.  Doesn't affect Pokémon with suction cups or under the effect of ingrain.
fly,flying,95,physical,-1,15,0,90,No,selected-pokemon,Inflicts regular damage.  User flies high into the air for one turn  becoming immune to attack  and hits on the second turn.  During the immune turn  gust  hurricane  sky uppercut  smack down  thunder  twister  and whirlwind still hit the user normally.  gust and twister also have double power against the user.  The damage from hail and sandstorm still applies during the immune turn.  The user may be hit during its immune turn if under the effect of lock on  mind reader  or no guard.  This move cannot be used while gravity is in effect.  This move cannot be selected by sleep talk.
bind,normal,85,physical,100,20,0,15,No,selected-pokemon,Inflicts regular damage.  For the next 2–5 turns  the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn.  The user continues to use other moves during this time.  If the user leaves the field  this effect ends.  Has a 3/8 chance each to hit 2 or 3 times  and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.  rapid spin cancels this effect.
slam,normal,75,physical,-1,20,0,80,No,selected-pokemon,Inflicts regular damage.
vine-whip,grass,100,physical,-1,25,0,45,No,selected-pokemon,Inflicts regular damage.
stomp,normal,100,physical,30,20,0,65,No,selected-pokemon,Inflicts regular damage.  Has a 30% chance to make the target flinch.  Power is doubled against Pokémon that have used minimize since entering the field.
double-kick,fighting,100,physical,-1,30,0,30,No,selected-pokemon,Inflicts regular damage.  Hits twice in one turn.
mega-kick,normal,75,physical,-1,5,0,120,No,selected-pokemon,Inflicts regular damage.
jump-kick,fighting,95,physical,-1,10,0,100,No,selected-pokemon,Inflicts regular damage. If this move misses  is blocked by protect or detect  or has no effect  the user takes damage equal to half of its max HP rounded down.  This move cannot be used while gravity is in effect.
rolling-kick,fighting,85,physical,30,15,0,60,No,selected-pokemon,Inflicts regular damage.  Has a 30% chance to make the target flinch.
sand-attack,ground,100,status,-1,15,0,-1,No,selected-pokemon,Lowers the target's accuracy by one stage.
headbutt,normal,100,physical,30,15,0,70,No,selected-pokemon,Inflicts regular damage.  Has a 30% chance to make the target flinch.
horn-attack,normal,100,physical,-1,25,0,65,No,selected-pokemon,Inflicts regular damage.
fury-attack,normal,85,physical,-1,20,0,15,No,selected-pokemon,Inflicts regular damage.  Hits 2–5 times in one turn.  Has a 3/8 chance each to hit 2 or 3 times  and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.
horn-drill,normal,30,physical,-1,5,0,-1,No,selected-pokemon,Inflicts damage equal to the target's max HP.  Ignores accuracy and evasion modifiers.  This move's accuracy is 30% plus 1% for each level the user is higher than the target.  If the user is a lower level than the target  this move will fail.  Because this move inflicts a specific and finite amount of damage  endure still prevents the target from fainting.  The effects of lock on  mind reader  and no guard still apply  as long as the user is equal or higher level than the target.  However  they will not give this move a chance to break through detect or protect.
tackle,normal,100,physical,-1,35,0,40,No,selected-pokemon,Inflicts regular damage.
body-slam,normal,100,physical,30,15,0,85,No,selected-pokemon,Inflicts regular damage.  Has a 30% chance to paralyze the target.
wrap,normal,90,physical,100,20,0,15,No,selected-pokemon,Inflicts regular damage.  For the next 2–5 turns  the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn.  The user continues to use other moves during this time.  If the user leaves the field  this effect ends.  Has a 3/8 chance each to hit 2 or 3 times  and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.  rapid spin cancels this effect.
take-down,normal,85,physical,-1,20,0,90,No,selected-pokemon,Inflicts regular damage.  User takes 1/4 the damage it inflicts in recoil.
thrash,normal,100,physical,-1,10,0,120,No,random-opponent,Inflicts regular damage.  User is forced to attack with this move for 2–3 turns selected at random.  After the last hit  the user becomes confused.  safeguard does not protect against the confusion from this move.
double-edge,normal,100,physical,-1,15,0,120,No,selected-pokemon,Inflicts regular damage.  User takes 1/3 the damage it inflicts in recoil.
tail-whip,normal,100,status,-1,30,0,-1,No,all-opponents,Lowers the target's Defense by one stage.
poison-sting,poison,100,physical,30,35,0,15,No,selected-pokemon,Inflicts regular damage.  Has a 30% chance to poison the target.
